수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-09-25 18:06:47.552876,36.3316658960759,127.34110451505,pp마대,2
3,2024-08-29 18:06:47.552876,36.3304660340282,127.344696707513,대형폐기물,3
4,2024-02-27 18:06:47.551876,36.3160898224819,127.345617668779,대형폐기물,7
5,2024-06-24 18:06:47.554876,36.3155447982455,127.347013981412,대형폐기물,2
6,2024-11-07 18:06:47.551876,36.3141108149718,127.350481809299,대형폐기물,10
7,2023-12-30 18:06:47.556926,36.3134899542661,127.350156111926,pp마대,10
8,2024-04-18 18:06:47.556926,36.3107720964148,127.35385404962,대형폐기물,5
9,2024-05-26 18:06:47.553876,36.2942460810115,127.336796734592,대형폐기물,2
10,2023-12-29 18:06:47.554876,36.2944468857507,127.335571362525,pp마대,3
11,2023-12-04 18:06:47.553876,36.2941264660544,127.327331369897,pp마대,4
12,2024-11-08 18:06:47.555876,36.3708903770045,127.420652799975,pp마대,8
13,2024-03-21 18:06:47.555876,36.4219009695207,127.423874747094,대형폐기물,8
14,2024-09-10 18:06:47.550876,36.4215451599694,127.423832559993,pp마대,10
15,2024-04-27 18:06:47.551876,36.4213463075871,127.424203570367,pp마대,6
16,2024-06-06 18:06:47.553876,36.4209979065325,127.423749972063,pp마대,6
17,2024-11-29 20:05:42.412094,36.4216090560865,127.423704564947,대형폐기물,0
총 거리 (m),47416
총 적재량,86
