수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-11-29 20:05:43.850237,36.4216090560865,127.423704564947,대형폐기물,0
3,2024-06-09 18:06:47.620459,36.4214310518927,127.424219084448,대형폐기물,2
4,2024-01-22 18:06:47.617460,36.4213463075871,127.424203570367,pp마대,3
5,2024-08-17 18:06:47.619459,36.4209979065325,127.423749972063,대형폐기물,10
6,2024-07-23 18:06:47.618460,36.4215451599694,127.423832559993,대형폐기물,1
7,2024-06-19 18:06:47.619459,36.4219009695207,127.423874747094,pp마대,8
8,2024-08-26 18:06:47.620965,36.3649953325655,127.368868485761,대형폐기물,5
9,2024-11-11 18:06:47.619459,36.3406161013989,127.350396353128,대형폐기물,9
10,2024-02-11 18:06:47.618460,36.3082147763182,127.354656973119,대형폐기물,7
11,2024-01-10 18:06:47.620965,36.313173729192,127.35043307452,pp마대,1
12,2024-05-23 18:06:47.617460,36.3104047190403,127.339579738419,대형폐기물,3
13,2024-02-18 18:06:47.617460,36.3090965749902,127.340209400152,pp마대,8
14,2024-01-05 18:06:47.616459,36.3085933652258,127.338841243288,pp마대,1
15,2024-09-07 18:06:47.615460,36.3092827743861,127.338457858345,대형폐기물,4
16,2024-11-15 18:06:47.615460,36.3086272511094,127.337343030077,pp마대,7
17,2024-05-15 18:06:47.616459,36.3312326360175,127.341347654494,대형폐기물,7
18,2024-04-07 18:06:47.620965,36.3397351344023,127.349588070651,대형폐기물,5
총 거리 (m),41060
총 적재량,81
