address,Latitude,Longitude,type,count,time,image,score
대전광역시 대덕구 상서동 418-4,,,pp마대,2,2024-07-06 18:06:47.760663,,0.38140086998549216
대전광역시 서구 도안동 1765,,,대형폐기물,10,2024-02-24 18:06:47.762663,,0.44088755149742487
대전광역시 서구 관저동 984-2,,,pp마대,4,2024-05-06 18:06:47.762663,,0.9141694858331083
대전광역시 서구 관저동 985,,,대형폐기물,7,2024-10-10 18:06:47.763663,,0.26194222807461476
대전광역시 서구 관저동 1892-25,,,대형폐기물,4,2024-03-19 18:06:47.763663,,0.6253532167338438
대전광역시 서구 도안동 1412,,,pp마대,9,2024-10-02 18:06:47.764663,,0.7755551646626404
대전광역시 대덕구 상서동 427,,,pp마대,2,2024-01-27 18:06:47.764663,,0.6143484257639462
대전광역시 서구 관저동 986,,,pp마대,7,2024-10-28 18:06:47.764663,,0.23004746778703533
대전광역시 서구 도안동 1964,,,pp마대,3,2024-08-04 18:06:47.765663,,0.20582280704182965
대전광역시 서구 관저동 1906,,,pp마대,4,2024-05-14 18:06:47.765663,,0.4524423213917169
대전광역시 대덕구 상서동 428-1,,,대형폐기물,10,2024-06-24 18:06:47.766756,,0.5022978851926755
대전광역시 서구 도안동 1549,,,대형폐기물,6,2024-06-16 18:06:47.766756,,0.4280761642926716
대전광역시 대덕구 상서동 415-1,,,대형폐기물,2,2024-07-23 18:06:47.766756,,0.07129349447220579
