수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-04-02 18:06:47.711478,36.3003026462154,127.341570097626,대형폐기물,5
3,2024-01-02 18:06:47.710478,36.2929572270483,127.340480628472,pp마대,9
4,2024-09-06 18:06:47.708478,36.2930906867541,127.341588530066,pp마대,5
5,2024-06-02 18:06:47.709478,36.3073535817817,127.352624191962,pp마대,9
6,2024-11-08 18:06:47.709478,36.3091698761741,127.353978865051,pp마대,7
7,2024-09-05 18:06:47.710478,36.4219009695207,127.423874747094,pp마대,7
8,2023-12-14 18:06:47.711478,36.4213188752324,127.42464497941,대형폐기물,7
9,2024-02-18 18:06:47.709478,36.4213463075871,127.424203570367,pp마대,1
10,2024-11-04 18:06:47.708478,36.4215451599694,127.423832559993,pp마대,9
11,2024-11-29 20:05:46.365651,36.4216090560865,127.423704564947,대형폐기물,0
총 거리 (m),41680
총 적재량,59
