수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2023-12-25 18:06:47.739621,36.3708865460947,127.420768223532,pp마대,7
3,2023-12-18 18:06:47.738622,36.305696825481,127.353486298571,pp마대,5
4,2024-03-09 18:06:47.736621,36.3072126661495,127.354047401597,pp마대,1
5,2023-12-10 18:06:47.737621,36.2960246411303,127.337889032421,대형폐기물,9
6,2024-05-08 18:06:47.736621,36.3085933652258,127.338841243288,pp마대,4
7,2023-12-18 18:06:47.737621,36.3092827743861,127.338457858345,pp마대,8
8,2023-12-15 18:06:47.738622,36.3086272511094,127.337343030077,대형폐기물,2
9,2024-11-11 18:06:47.735622,36.3316999700665,127.341795201489,대형폐기물,1
10,2024-05-22 18:06:47.736621,36.4219009695207,127.423874747094,대형폐기물,7
11,2024-10-16 18:06:47.737621,36.4215451599694,127.423832559993,대형폐기물,9
12,2024-03-02 18:06:47.739621,36.4209979065325,127.423749972063,pp마대,4
13,2024-11-29 20:05:47.016676,36.4216090560865,127.423704564947,대형폐기물,0
총 거리 (m),44768
총 적재량,57
