수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-09-07 18:06:47.587299,36.2980880143002,127.324044890907,pp마대,8
3,2024-07-26 18:06:47.588364,36.3102905655166,127.352735735617,대형폐기물,7
4,2024-01-09 18:06:47.589365,36.3157452237037,127.349364446635,대형폐기물,3
5,2024-07-08 18:06:47.586298,36.3696294177466,127.380595741305,대형폐기물,2
6,2024-02-13 18:06:47.587299,36.4215451599694,127.423832559993,대형폐기물,5
7,2024-01-09 18:06:47.588364,36.4214310518927,127.424219084448,대형폐기물,1
8,2024-02-06 18:06:47.588364,36.4213463075871,127.424203570367,pp마대,10
9,2024-03-20 18:06:47.589365,36.4209979065325,127.423749972063,대형폐기물,2
10,2024-11-29 20:05:42.922261,36.4216090560865,127.423704564947,대형폐기물,0
총 거리 (m),43130
총 적재량,38
