address,Latitude,Longitude,type,count,time,image,score
대전광역시 서구 관저동 984,,,pp마대,8,2024-08-12 18:06:47.647327,,0.5938183371061767
대전광역시 서구 관저동 1134,,,대형폐기물,5,2024-02-04 18:06:47.648328,,0.8904294792069513
대전광역시 대덕구 상서동 415-1,,,pp마대,7,2024-06-06 18:06:47.648328,,0.5417704444860326
대전광역시 서구 관저동 1481,,,pp마대,8,2023-12-23 18:06:47.649328,,0.2906508227382336
대전광역시 서구 도안동 1850,,,대형폐기물,4,2023-12-26 18:06:47.649328,,0.9359428352742153
대전광역시 대덕구 상서동 411,,,pp마대,7,2024-11-19 18:06:47.649328,,0.09112813059456815
대전광역시 대덕구 상서동 418-4,,,대형폐기물,6,2024-10-10 18:06:47.650327,,0.43019349021685604
대전광역시 서구 관저동 1604-1,,,대형폐기물,7,2024-01-14 18:06:47.650327,,0.04211093375182162
대전광역시 서구 도안동 906,,,대형폐기물,7,2024-09-17 18:06:47.651327,,0.7617560154705154
대전광역시 서구 관저동 1597,,,대형폐기물,4,2024-05-24 18:06:47.651327,,0.7821051808728549
대전광역시 서구 관저동 1010,,,pp마대,6,2023-12-10 18:06:47.651327,,0.19346673347710386
대전광역시 대덕구 상서동 428-1,,,pp마대,9,2024-02-10 18:06:47.652328,,0.87605087472702
대전광역시 서구 관저동 1442,,,대형폐기물,7,2024-06-04 18:06:47.652328,,0.9920015318841666
대전광역시 서구 월평동 186-4,,,대형폐기물,4,2024-11-24 18:06:47.652328,,0.24225844482848602
대전광역시 대덕구 읍내동 454-16,,,대형폐기물,6,2024-10-14 18:06:47.653328,,0.07980661442421022
대전광역시 서구 도안동 911,,,대형폐기물,10,2024-04-03 18:06:47.653328,,0.2766874949467587
