address,Latitude,Longitude,type,count,time
대전광역시 서구 관저동 985,36.2966447,127.3371044,대형폐기물,3,2024-07-29 20:10:33
대전광역시 서구 관저동 984-2,36.2966447,127.3371044,대형폐기물,3,2024-07-24 20:10:33
대전광역시 서구 관저동 984,36.2966447,127.3371044,대형폐기물,9,2023-12-04 20:10:33
대전광역시 서구 도안동 891,36.31823425,127.3477241876171,pp마대,3,2024-10-11 20:10:33
대전광역시 서구 관저동 1892-25,36.2966447,127.3371044,pp마대,8,2023-12-19 20:10:33
대전광역시 대덕구 상서동 415-1,36.4238767,127.4242613,pp마대,2,2024-11-07 20:10:33
대전광역시 서구 관저동 986,36.2966447,127.3371044,대형폐기물,5,2024-09-19 20:10:33
대전광역시 대덕구 상서동 418-4,36.4238767,127.4242613,pp마대,6,2023-11-25 20:10:33
대전광역시 서구 도안동 1946,36.31823425,127.3477241876171,pp마대,7,2024-04-02 20:10:33
대전광역시 대덕구 상서동 428-1,36.4238767,127.4242613,pp마대,7,2024-01-31 20:10:33
대전광역시 대덕구 상서동 411,36.4238767,127.4242613,대형폐기물,5,2024-08-05 20:10:33
대전광역시 유성구 원신흥동 640,36.342599500000006,127.34629722839638,대형폐기물,4,2024-01-01 20:10:33
대전광역시 대덕구 상서동 415,36.4238767,127.4242613,대형폐기물,5,2024-10-24 20:10:33
대전광역시 서구 만년동 404,36.3682266,127.3829954,pp마대,10,2024-11-08 20:10:33
대전광역시 유성구 원신흥동 646,36.342599500000006,127.34629722839638,대형폐기물,5,2024-06-27 20:10:33
대전광역시 서구 도안동 1412,36.31823425,127.3477241876171,pp마대,7,2024-08-18 20:10:33
대전광역시 대덕구 상서동 804,36.4238767,127.4242613,pp마대,5,2024-04-05 20:10:33
대전광역시 서구 월평동 188-1,36.3514451,127.3571242,pp마대,9,2024-01-02 20:10:33
대전광역시 대덕구 대화동 397-3,36.36957,127.40755,pp마대,3,2024-08-09 20:10:33
대전광역시 서구 도안동 1472,36.31823425,127.3477241876171,pp마대,8,2024-05-11 20:10:33
