address,Latitude,Longitude,type,count,time
대전 대덕구 상서당3길 16,36.4216090560865,127.423704564947,대형폐기물,0,2000-01-01 03:38:35.642636
대전광역시 대덕구 상서동 418-4,36.4215451599694,127.423832559993,대형폐기물,3,2024-05-06 03:43:16.932880
대전광역시 서구 도안동 1765,36.3060858825264,127.351003154842,pp마대,2,2024-04-02 03:43:16.932880
대전광역시 서구 관저동 984-2,36.3086272511094,127.337343030077,pp마대,8,2024-07-27 03:43:16.933978
대전광역시 서구 관저동 985,36.3092827743861,127.338457858345,대형폐기물,5,2024-01-29 03:43:16.933978
대전광역시 서구 관저동 1892-25,36.3104047190403,127.339579738419,대형폐기물,10,2024-02-29 03:43:16.934961
대전광역시 서구 도안동 1412,36.313173729192,127.35043307452,대형폐기물,3,2024-10-21 03:43:16.934961
대전광역시 대덕구 상서동 427,36.4209001093861,127.423451055967,대형폐기물,3,2024-07-25 03:43:16.934961
대전광역시 서구 관저동 986,36.3090965749902,127.340209400152,pp마대,7,2024-08-26 03:43:16.935952
대전광역시 서구 도안동 1964,36.308396379714,127.35386113004,pp마대,10,2024-07-10 03:43:16.935952
대전광역시 서구 관저동 1906,36.309550351069,127.339945144209,대형폐기물,4,2024-11-25 03:43:16.936953
대전광역시 대덕구 상서동 428-1,36.4209979065325,127.423749972063,pp마대,1,2024-09-07 03:43:16.936953
대전광역시 서구 도안동 1549,36.3146691039633,127.349463537068,대형폐기물,9,2024-07-25 03:43:16.937887
대전광역시 대덕구 상서동 415-1,36.4213463075871,127.424203570367,대형폐기물,8,2024-01-12 03:43:16.937887
대전광역시 서구 관저동 1893-15,36.3082175835678,127.340897694004,대형폐기물,4,2024-07-26 03:43:16.938954
대전광역시 서구 도안동 1562,36.3112338334355,127.350345001971,pp마대,8,2024-09-25 03:43:16.938954
대전광역시 서구 월평동 186-20,36.3506609191184,127.351336491398,pp마대,6,2024-03-17 03:43:16.939954
대전광역시 유성구 원신흥동 662,36.3376986720217,127.349704835875,pp마대,9,2024-04-06 03:43:16.939954
대전광역시 서구 만년동 669,36.3689655717744,127.373643173217,대형폐기물,5,2024-05-10 03:43:16.940889
대전광역시 대덕구 읍내동 505-11,36.3791592302277,127.412202697122,대형폐기물,9,2024-08-30 03:43:16.943170
대전광역시 대덕구 상서동 395-4,36.4225956856769,127.419662464246,pp마대,10,2024-07-31 03:43:16.943170
대전 대덕구 상서당3길 16,36.4216090560865,127.423704564947,대형폐기물,0,2024-11-27 03:43:16.931953
