수거순서,쓰레기확인시간,위도,경도,폐기물종류,폐기물개수
1,2000-01-01 03:38:35.642636,36.4216090560865,127.423704564947,대형폐기물,0
2,2024-03-19 18:06:47.763663,36.3104047190403,127.339579738419,대형폐기물,4
3,2024-05-14 18:06:47.765663,36.309550351069,127.339945144209,pp마대,4
4,2024-10-10 18:06:47.763663,36.3092827743861,127.338457858345,대형폐기물,7
5,2024-05-06 18:06:47.762663,36.3086272511094,127.337343030077,pp마대,4
6,2024-10-28 18:06:47.764663,36.3090965749902,127.340209400152,pp마대,7
7,2024-02-24 18:06:47.762663,36.3060858825264,127.351003154842,대형폐기물,10
8,2024-08-04 18:06:47.765663,36.308396379714,127.35386113004,pp마대,3
9,2024-10-02 18:06:47.764663,36.313173729192,127.35043307452,pp마대,9
10,2024-06-16 18:06:47.766756,36.3146691039633,127.349463537068,대형폐기물,6
11,2024-07-06 18:06:47.760663,36.4215451599694,127.423832559993,pp마대,2
12,2024-01-27 18:06:47.764663,36.4209001093861,127.423451055967,pp마대,2
13,2024-07-23 18:06:47.766756,36.4213463075871,127.424203570367,대형폐기물,2
14,2024-06-24 18:06:47.766756,36.4209979065325,127.423749972063,대형폐기물,10
15,2024-11-29 20:05:47.927261,36.4216090560865,127.423704564947,대형폐기물,0
총 거리 (m),39962
총 적재량,70
